player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
OJ Simpson,BUF,RB,28.0,14,14,0,0,0,0,0,329,1817,5.52,16,28,426,15.21,7,7,0,23,0.0,0.0,355.0,383.3,392.8,369.3,278.0,1.0,1.0
Chuck Foreman,MIN,RB,25.0,14,12,0,0,0,0,0,280,1070,3.82,13,73,691,9.47,9,12,0,22,0.0,0.0,296.0,369.1,381.1,332.6,211.0,2.0,2.0
Lydell Mitchell,BAL,RB,26.0,14,14,0,0,0,0,0,289,1193,4.13,11,60,544,9.07,4,5,0,15,0.0,0.0,259.0,318.7,327.2,288.7,168.0,3.0,3.0
Fran Tarkenton,MIN,QB,35.0,14,14,273,425,2994,25,13,16,108,6.75,2,0,0,0.0,0,1,0,2,0.0,0.0,216.0,215.6,235.1,228.6,123.0,2.0,4.0
Ken Anderson,CIN,QB,26.0,13,13,228,377,3169,21,11,49,188,3.84,2,0,0,0.0,0,4,0,2,0.0,0.0,216.0,215.6,234.6,226.6,123.0,1.0,5.0
Bert Jones,BAL,QB,24.0,14,14,203,344,2483,18,8,47,321,6.83,3,0,0,0.0,0,1,0,3,0.0,0.0,204.0,204.4,218.9,212.4,111.0,3.0,6.0
Franco Harris,PIT,FB,25.0,14,14,0,0,0,0,0,262,1246,4.76,10,28,214,7.64,1,9,0,11,0.0,0.0,203.0,231.0,241.5,217.0,104.0,4.0,7.0
Roger Staubach,DAL,QB,33.0,13,13,198,348,2666,17,16,55,316,5.75,4,0,0,0.0,0,5,0,4,0.0,0.0,193.0,193.2,217.7,209.2,98.0,4.0,8.0
Mel Gray,STL,WR,27.0,14,14,0,0,0,0,0,1,6,6.0,0,48,926,19.29,11,1,0,11,0.0,0.0,158.0,206.2,209.7,182.2,97.0,1.0,9.0
Terry Metcalf,STL,RB,24.0,13,13,1,2,51,1,0,165,816,4.95,9,43,378,8.79,2,8,0,13,0.0,0.0,195.0,238.4,248.4,216.9,96.0,5.0,10.0
Ken Burrough,HOU,WR,27.0,14,14,0,0,0,0,0,0,0,0.0,0,53,1063,20.06,8,1,0,8,0.0,0.0,153.0,206.3,209.8,179.8,91.0,2.0,11.0
John Riggins,NYJ,FB,26.0,14,14,0,0,0,0,0,238,1005,4.22,8,30,363,12.1,1,5,0,9,0.0,0.0,186.0,215.8,224.3,200.8,85.0,6.0,12.0
Cliff Branch,OAK,WR,27.0,14,14,0,0,0,0,0,2,18,9.0,0,51,893,17.51,9,0,0,9,0.0,0.0,145.0,196.1,199.1,170.6,82.0,3.0,13.0
Jim Braxton,BUF,FB,26.0,14,14,0,0,0,0,0,186,823,4.42,9,26,282,10.85,4,7,0,13,0.0,0.0,182.0,207.5,217.0,194.5,80.0,7.0,14.0
Greg Pruitt,CLE,RB,24.0,14,14,0,0,0,0,0,217,1067,4.92,8,44,299,6.8,1,10,0,9,0.0,0.0,181.0,224.6,235.6,202.6,79.0,8.0,15.0
Lynn Swann,PIT,WR,23.0,14,12,0,0,0,0,0,3,13,4.33,0,49,781,15.94,11,4,0,11,0.0,0.0,141.0,190.4,195.4,165.9,78.0,4.0,16.0
Joe Ferguson,BUF,QB,25.0,14,14,169,321,2426,25,17,23,82,3.57,1,0,0,0.0,0,4,0,1,0.0,0.0,173.0,173.2,195.2,190.2,75.0,5.0,17.0
Mike Thomas,WAS,RB,22.0,14,10,0,0,0,0,0,235,919,3.91,4,40,483,12.08,3,9,0,7,0.0,0.0,173.0,213.2,223.7,193.2,70.0,9.0,18.0
Terry Bradshaw,PIT,QB,27.0,14,14,165,286,2055,18,9,35,210,6.0,3,0,0,0.0,0,6,0,3,0.0,0.0,169.0,169.2,187.2,178.2,70.0,6.0,19.0
Isaac Curtis,CIN,WR,25.0,14,14,0,0,0,0,0,6,-9,-1.5,0,44,934,21.23,7,1,0,7,0.0,0.0,134.0,177.5,181.0,155.5,69.0,5.0,20.0
Pete Banaszak,OAK,RB,31.0,14,0,0,0,0,0,0,187,672,3.59,16,10,64,6.4,0,1,0,16,0.0,0.0,169.0,178.6,182.1,173.6,65.0,10.0,21.0
Drew Pearson,DAL,WR,24.0,14,14,0,0,0,0,0,1,11,11.0,0,46,822,17.87,8,1,0,8,0.0,0.0,130.0,176.3,179.8,153.3,65.0,6.0,22.0
Billy Kilmer,WAS,QB,36.0,12,12,178,346,2440,23,16,11,34,3.09,1,0,0,0.0,0,3,0,1,0.0,0.0,164.0,164.0,184.5,180.0,64.0,7.0,23.0
Frank Grant,WAS,WR,25.0,14,9,0,0,0,0,0,3,46,15.33,0,41,776,18.93,8,2,0,8,0.0,0.0,128.0,169.2,173.2,148.7,63.0,7.0,24.0
Gene Washington,SFO,WR,28.0,14,14,0,1,0,0,0,1,-4,-4.0,0,44,735,16.7,9,1,0,9,0.0,0.0,126.0,170.1,173.6,148.1,60.0,8.0,25.0
John Gilliam,MIN,WR,30.0,14,14,0,0,0,0,0,3,35,11.67,0,50,777,15.54,7,1,0,7,0.0,0.0,122.0,172.2,175.7,147.2,56.0,9.0,26.0
Harold Jackson,RAM,WR,29.0,14,14,0,0,0,0,0,0,0,0.0,0,43,786,18.28,7,1,0,7,0.0,0.0,120.0,162.6,166.1,141.1,53.0,10.0,27.0
Rich Caster,NYJ,TE,27.0,14,14,0,0,0,0,0,0,0,0.0,0,47,820,17.45,4,0,0,4,0.0,0.0,106.0,153.0,156.0,129.5,52.0,1.0,28.0
