player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Emmitt Smith,DAL,RB,25.0,15,15,0,0,0,0,0,368,1484,4.03,21,61.0,50,341,6.82,1,1,0,22,0.0,0.0,315.0,364.5,370.5,339.5,187.0,1.0,1.0
Steve Young,SFO,QB,33.0,16,16,324,461,3969,35,10,58,293,5.05,7,0.0,0,0,0.0,0,4,3,7,0.0,2.0,348.0,348.1,367.1,358.1,172.0,1.0,2.0
Jerry Rice,SFO,WR,32.0,16,16,0,0,0,0,0,7,93,13.29,2,151.0,112,1499,13.38,13,1,1,15,1.0,0.0,249.0,361.2,365.2,305.2,139.0,1.0,3.0
Barry Sanders,DET,RB,26.0,16,16,0,0,0,0,0,331,1883,5.69,7,65.0,44,283,6.43,1,0,0,8,0.0,0.0,265.0,308.6,314.6,286.6,137.0,2.0,4.0
Chris Warren,SEA,RB,26.0,16,15,0,0,0,0,0,333,1545,4.64,9,61.0,41,323,7.88,2,5,4,11,1.0,0.0,247.0,287.8,297.8,267.3,119.0,3.0,5.0
Marshall Faulk,IND,RB,21.0,16,16,0,0,0,0,0,314,1282,4.08,11,74.0,52,522,10.04,1,5,5,12,0.0,0.0,242.0,294.4,305.4,268.4,115.0,4.0,6.0
Sterling Sharpe,GNB,WR,29.0,16,16,0,0,0,0,0,3,15,5.0,0,159.0,94,1119,11.9,18,1,0,18,0.0,0.0,221.0,315.4,318.4,268.4,111.0,2.0,7.0
Brett Favre,GNB,QB,25.0,16,16,363,582,3882,33,14,42,202,4.81,2,0.0,0,0,0.0,0,7,5,2,0.0,1.0,283.0,283.5,308.5,297.5,107.0,2.0,8.0
Ben Coates,NWE,TE,25.0,16,16,0,0,0,0,0,1,0,0.0,0,148.0,96,1174,12.23,7,2,1,7,0.0,0.0,157.0,253.4,257.4,205.4,102.0,1.0,9.0
Natrone Means,SDG,RB,22.0,16,16,0,1,0,0,0,343,1350,3.94,12,43.0,39,235,6.03,0,5,4,12,0.0,0.0,223.0,261.5,271.5,242.0,95.0,5.0,10.0
Terance Mathis,ATL,WR,27.0,16,16,0,0,0,0,0,0,0,0.0,0,151.0,111,1342,12.09,11,0,0,11,2.0,0.0,204.0,315.2,318.2,259.7,94.0,3.0,11.0
Ricky Watters,SFO,RB,25.0,16,16,0,0,0,0,0,239,877,3.67,6,88.0,66,719,10.89,5,8,3,11,0.0,0.0,220.0,285.6,294.6,252.6,92.0,6.0,12.0
Dan Marino,MIA,QB,33.0,16,16,385,615,4453,30,17,22,-6,-0.27,1,0.0,0,0,0.0,0,9,5,1,0.0,3.0,266.0,265.5,290.5,282.5,89.0,3.0,13.0
Andre Reed,BUF,WR,30.0,16,16,1,1,32,0,0,10,87,8.7,0,143.0,90,1303,14.48,8,3,2,8,0.0,0.0,184.0,274.3,279.3,229.3,74.0,4.0,14.0
Shannon Sharpe,DEN,TE,26.0,15,13,0,0,0,0,0,0,0,0.0,0,140.0,87,1010,11.61,4,1,1,4,2.0,0.0,127.0,214.0,218.0,170.5,72.0,2.0,15.0
Thurman Thomas,BUF,RB,28.0,15,15,0,0,0,0,0,287,1093,3.81,7,71.0,50,349,6.98,2,1,1,9,0.0,0.0,196.0,246.2,253.2,221.2,69.0,7.0,16.0
Herman Moore,DET,WR,25.0,16,16,0,0,0,0,0,0,0,0.0,0,132.0,72,1173,16.29,11,1,2,11,0.0,0.0,179.0,251.3,256.3,215.3,69.0,5.0,17.0
Carl Pickens,CIN,WR,24.0,15,15,0,0,0,0,0,0,0,0.0,0,132.0,71,1127,15.87,11,1,0,11,0.0,0.0,179.0,249.7,252.7,214.2,68.0,7.0,18.0
Tim Brown,RAI,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,142.0,89,1309,14.71,9,3,3,9,0.0,0.0,179.0,267.9,273.9,223.4,68.0,6.0,19.0
Brent Jones,SFO,TE,31.0,15,15,0,0,0,0,0,0,0,0.0,0,72.0,49,670,13.67,9,1,1,9,1.0,0.0,121.0,170.0,174.0,145.5,66.0,3.0,20.0
Henry Ellard,WAS,WR,33.0,16,16,0,0,0,0,0,1,-5,-5.0,0,150.0,74,1397,18.88,6,1,1,6,0.0,0.0,173.0,247.2,251.2,210.2,63.0,8.0,21.0
Irving Fryar,MIA,WR,32.0,16,16,0,0,0,0,0,0,0,0.0,0,126.0,73,1270,17.4,7,0,0,7,2.0,0.0,173.0,246.0,249.0,209.5,62.0,9.0,22.0
Cris Carter,MIN,WR,29.0,16,16,0,0,0,0,0,0,0,0.0,0,188.0,122,1256,10.3,7,4,0,7,2.0,0.0,172.0,293.6,296.6,232.6,61.0,10.0,23.0
Keith Jackson,MIA,TE,29.0,16,16,0,0,0,0,0,0,0,0.0,0,95.0,59,673,11.41,7,2,1,7,1.0,0.0,109.0,168.3,172.3,138.8,54.0,4.0,24.0
Leroy Hoard,CLE,RB,26.0,16,12,0,0,0,0,0,209,890,4.26,5,68.0,45,445,9.89,4,8,5,9,0.0,0.0,178.0,222.5,233.5,200.0,50.0,8.0,25.0
Harvey Williams,RAI,RB,27.0,16,10,0,0,0,0,0,282,983,3.49,4,64.0,47,391,8.32,3,4,2,7,1.0,0.0,177.0,224.4,232.4,200.9,50.0,9.0,26.0
Michael Irvin,DAL,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,121.0,79,1241,15.71,6,0,0,6,0.0,0.0,160.0,239.1,242.1,199.6,49.0,11.0,27.0
Andre Rison,ATL,WR,27.0,15,14,0,0,0,0,0,0,0,0.0,0,154.0,81,1088,13.43,8,1,0,8,1.0,0.0,159.0,239.8,242.8,199.3,48.0,12.0,28.0
Drew Bledsoe,NWE,QB,22.0,16,16,400,691,4555,25,27,44,40,0.91,0,0.0,0,0,0.0,0,9,5,0,0.0,0.0,222.0,222.2,257.2,249.2,46.0,4.0,29.0
John Elway,DEN,QB,34.0,14,14,307,494,3490,16,10,58,235,4.05,4,1.0,0,0,0.0,0,11,7,4,0.0,2.0,221.0,221.1,244.1,231.1,45.0,5.0,30.0
Johnny Mitchell,NYJ,TE,23.0,16,14,0,0,0,0,0,0,0,0.0,0,111.0,58,749,12.91,4,1,0,4,0.0,0.0,99.0,156.9,159.9,127.9,44.0,5.0,31.0
Edgar Bennett,GNB,FB,25.0,16,15,0,0,0,0,0,178,623,3.5,5,97.0,78,546,7.0,4,1,0,9,0.0,0.0,171.0,248.9,254.9,209.9,43.0,10.0,32.0
Terry Allen,MIN,RB,26.0,16,16,0,0,0,0,0,255,1031,4.04,8,30.0,17,148,8.71,0,3,1,8,1.0,0.0,166.0,182.9,189.9,174.4,38.0,11.0,33.0
Warren Moon,MIN,QB,38.0,15,15,371,601,4264,18,19,27,55,2.04,0,0.0,0,0,0.0,0,9,2,0,0.0,3.0,212.0,212.1,236.1,231.1,36.0,6.0,34.0
Jim Everett,NOR,QB,31.0,16,16,346,540,3855,22,18,15,35,2.33,0,0.0,0,0,0.0,0,3,2,0,0.0,2.0,210.0,209.7,232.7,227.7,33.0,7.0,35.0
Randall Cunningham,PHI,QB,31.0,14,14,265,490,3229,16,13,65,288,4.43,3,0.0,0,0,0.0,0,10,3,3,0.0,0.0,208.0,208.0,230.0,221.0,32.0,8.0,36.0
Anthony Miller,DEN,WR,29.0,16,15,0,0,0,0,0,1,3,3.0,0,118.0,60,1107,18.45,5,0,0,5,1.0,0.0,143.0,203.0,206.0,173.0,32.0,13.0,37.0
Jeff George,ATL,QB,27.0,16,16,322,524,3734,23,18,30,66,2.2,0,0.0,0,0,0.0,0,12,4,0,0.0,1.0,206.0,206.0,231.0,224.0,30.0,9.0,38.0
Fred Barnett,PHI,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,148.0,78,1127,14.45,5,1,1,5,0.0,0.0,141.0,218.7,222.7,179.7,30.0,14.0,39.0
Rob Moore,NYJ,WR,26.0,16,16,0,0,0,0,0,1,-3,-3.0,0,159.0,78,1010,12.95,6,0,0,6,2.0,0.0,141.0,218.7,221.7,179.7,30.0,15.0,40.0
Rodney Hampton,NYG,RB,25.0,14,13,0,0,0,0,0,327,1075,3.29,6,20.0,14,103,7.36,0,0,0,6,1.0,0.0,156.0,169.8,175.8,162.8,28.0,12.0,41.0
