player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Josh Allen,BUF,QB,27.0,17,17,385,579,4306,29,18,111,524,4.72,15,0.0,0,0,0.0,0,7,4,15,0.0,3.0,393.0,392.6,420.6,410.6,122.0,1.0,3.0
Jalen Hurts,PHI,QB,25.0,17,17,352,538,3858,23,15,157,605,3.85,15,0.0,0,0,0.0,0,9,5,15,0.0,0.0,357.0,356.8,382.8,371.8,89.0,2.0,5.0
Dak Prescott,DAL,QB,30.0,17,17,410,590,4516,36,9,55,242,4.4,2,0.0,0,0,0.0,0,4,2,2,0.0,2.0,343.0,342.8,359.8,351.8,76.0,3.0,8.0
Lamar Jackson,BAL,QB,26.0,16,16,307,457,3678,24,7,148,821,5.55,5,0.0,0,0,0.0,0,11,6,5,0.0,1.0,331.0,331.2,350.2,338.2,65.0,4.0,10.0
Jordan Love,GNB,QB,25.0,17,17,372,579,4159,32,11,50,247,4.94,4,0.0,0,0,0.0,0,9,3,4,0.0,2.0,319.0,319.1,339.1,330.1,53.0,5.0,18.0
Brock Purdy,SFO,QB,24.0,16,16,308,444,4280,31,11,39,144,3.69,2,0.0,0,0,0.0,0,6,2,2,0.0,0.0,296.0,295.6,314.6,306.6,31.0,6.0,31.0
Jared Goff,DET,QB,29.0,17,17,407,605,4575,30,12,32,21,0.66,2,0.0,0,0,0.0,0,6,4,2,0.0,2.0,289.0,289.1,308.1,301.1,25.0,7.0,40.0
Patrick Mahomes,KAN,QB,28.0,16,16,401,597,4183,27,14,75,389,5.19,0,0.0,0,0,0.0,0,5,3,0,0.0,0.0,280.0,280.2,303.2,294.2,17.0,8.0,50.0
CJ Stroud,HOU,QB,22.0,15,15,319,499,4108,23,5,39,167,4.28,3,1.0,1,0,0.0,0,8,4,3,1.0,0.0,275.0,276.0,291.0,280.5,12.0,9.0,58.0
Baker Mayfield,TAM,QB,28.0,17,17,364,566,4044,28,10,62,163,2.63,1,0.0,0,0,0.0,0,8,3,1,0.0,2.0,274.0,274.1,293.1,284.1,11.0,10.0,60.0
