player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Ron Johnson*+,NYG,RB,23.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,263.0,1027.0,3.9,8.0,48.0,487.0,10.15,4.0,5.0,,12.0,,,218.0,266.4,274.9,242.4,135.0,1.0,1.0
Gene Washington*+,SFO,WR,23.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,53.0,1100.0,20.75,12.0,0.0,,12.0,,,182.0,235.0,238.0,208.5,134.0,1.0,2.0
MacArthur Lane*,STL,FB,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,206.0,977.0,4.74,11.0,32.0,365.0,11.41,2.0,2.0,,13.0,,,210.0,242.2,249.2,226.2,126.0,2.0,3.0
Warren Wells*,OAK,WR,28.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,11.33,0.0,43.0,935.0,21.74,11.0,0.0,,11.0,,,163.0,205.9,208.9,184.4,112.0,2.0,4.0
John Brodie*+,SFO,QB,35.0,14.0,14.0,223.0,378.0,2941.0,24.0,10.0,9.0,29.0,3.22,2.0,0.0,0.0,,0.0,1.0,,2.0,,,208.0,207.5,221.0,217.5,105.0,1.0,5.0
Marlin Briscoe*,BUF,WR,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,6.33,0.0,57.0,1036.0,18.18,8.0,3.0,,8.0,,,151.0,207.5,212.0,179.0,98.0,3.0,6.0
Larry Brown*+,WAS,RB,23.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,237.0,1125.0,4.75,5.0,37.0,341.0,9.22,2.0,6.0,,7.0,,,183.0,219.6,228.6,201.1,94.0,3.0,7.0
Fran Tarkenton*,NYG,QB,30.0,14.0,14.0,219.0,389.0,2777.0,19.0,12.0,43.0,236.0,5.49,2.0,0.0,0.0,,0.0,3.0,,2.0,,,196.0,195.7,215.2,207.7,92.0,2.0,8.0
John Gilliam,STL,WR,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,68.0,13.6,1.0,45.0,952.0,21.16,5.0,3.0,,6.0,,,135.0,180.0,184.5,157.5,80.0,4.0,9.0
Ken Willard,SFO,FB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,236.0,789.0,3.34,7.0,31.0,259.0,8.35,3.0,3.0,,10.0,,,162.0,192.8,200.3,177.3,70.0,4.0,10.0
John Hadl,SDG,QB,30.0,14.0,12.0,162.0,327.0,2388.0,22.0,15.0,28.0,188.0,6.71,1.0,0.0,0.0,,0.0,3.0,,1.0,,,175.0,175.3,197.8,190.3,68.0,3.0,11.0
Bo Scott,CLE,FB,27.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,151.0,625.0,4.14,7.0,40.0,351.0,8.78,4.0,4.0,,11.0,,,160.0,199.6,207.6,179.6,68.0,5.0,12.0
