Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Walter Payton*,CHI,RB,25,16,16,0,0,0,0,0,333,1395,4.19,11,50,480,9.60,0,5,,11,,,249,298.5,307.0,273.5,110,1,1
John Jefferson*,SDG,WR,22,14,14,0,0,0,0,0,1,7,7.00,0,56,1001,17.88,13,0,,13,,,179,234.8,237.8,206.8,95,1,2
Dave Casper*+,OAK,TE,26,16,16,0,1,0,0,0,1,5,5.00,0,62,852,13.74,9,1,,10,,,145,206.7,210.2,175.7,87,1,3
Roger Staubach*,DAL,QB,36,15,15,231,413,3190,25,16,42,182,4.33,1,0,0,,0,5,,1,,,215,214.8,239.3,230.8,81,1,4
Steve Largent*,SEA,WR,24,16,16,0,0,0,0,0,0,0,,0,71,1168,16.45,8,0,,8,,,165,235.8,238.8,200.3,81,2,5
Earl Campbell*+,HOU,RB,23,15,14,0,0,0,0,0,302,1450,4.80,13,12,48,4.00,0,9,,13,,,219,230.8,238.3,224.8,80,2,6
Tony Dorsett*,DAL,RB,24,16,15,0,1,0,0,0,290,1325,4.57,7,37,378,10.22,2,12,,10,,,218,255.3,267.3,236.8,80,3,7
Wesley Walker*+,NYJ,WR,23,16,16,0,0,0,0,0,1,-3,-3.00,0,48,1169,24.35,8,2,,8,,,163,210.6,214.6,186.6,79,3,8
Harold Carmichael*,PHI,WR,29,16,16,0,0,0,0,0,1,21,21.00,0,55,1072,19.49,8,1,,8,,,156,211.3,214.8,183.8,73,4,9
Jim Zorn,SEA,QB,25,16,16,248,443,3283,15,20,59,290,4.92,6,0,0,,0,11,,6,,,205,205.3,236.8,225.3,71,2,10
Lynn Swann*+,PIT,WR,26,16,16,0,0,0,0,0,1,7,7.00,0,61,880,14.43,11,0,,11,,,155,215.7,218.7,185.2,71,5,11
Terdell Middleton*,GNB,RB,23,16,16,0,0,0,0,0,284,1116,3.93,11,34,332,9.76,1,8,,12,,,209,242.8,252.8,225.8,70,4,12
Steve Grogan,NWE,QB,25,16,16,181,362,2824,15,23,81,539,6.65,5,0,0,,0,9,,5,,,202,201.9,235.4,224.9,68,3,13
Terry Bradshaw*+,PIT,QB,30,16,16,207,368,2915,28,20,32,93,2.91,1,0,1,,0,8,,1,,,196,196.0,223.0,216.0,62,4,14
Riley Odoms*,DEN,TE,28,16,16,0,0,0,0,0,2,5,2.50,0,54,829,15.35,6,2,,6,,,117,171.4,175.4,144.4,60,2,15
Wilbert Montgomery*,PHI,RB,24,14,14,0,0,0,0,0,259,1220,4.71,9,34,195,5.74,1,6,,10,,,196,229.5,238.5,212.5,57,5,16
Archie Manning*,NOR,QB,29,16,16,291,471,3416,17,16,38,202,5.32,1,0,0,,0,8,,1,,,191,190.8,216.8,206.8,57,5,17
Mark van Eeghen,OAK,FB,26,16,16,0,0,0,0,0,270,1080,4.00,9,27,291,10.78,0,5,,10,,,192,219.1,227.6,205.6,54,6,18
Reggie Rucker,CLE,WR,31,15,15,0,0,0,0,0,2,14,7.00,0,43,893,20.77,8,3,,8,,,136,178.7,183.2,157.2,52,6,19
Henry Childs,NOR,TE,27,16,16,0,0,0,0,0,2,-4,-2.00,0,53,869,16.40,4,1,,4,,,110,162.5,166.0,136.0,52,3,20
Brian Sipe,CLE,QB,29,16,16,222,399,2906,21,15,28,87,3.11,3,0,0,,0,12,,3,,,185,184.9,208.9,199.9,51,6,21
Delvin Williams*+,MIA,RB,27,16,15,0,1,0,0,0,272,1258,4.63,8,18,192,10.67,0,4,,8,,,189,207.0,215.0,198.0,50,7,22
