Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jerry Rice*+,SFO,WR,31,16,16,0,0,0,0,0,3,69,23.00,1,153,98,1503,15.34,15,3,,16,,,250,348.2,352.7,299.2,145,1,1
Emmitt Smith*+,DAL,RB,24,14,13,0,0,0,0,0,283,1486,5.25,9,65,57,414,7.26,1,4,,10,,,246,303.0,311.0,274.5,135,1,2
Steve Young*+,SFO,QB,32,16,16,314,462,4023,29,16,69,407,5.90,2,2,2,2,1.00,0,8,,2,,,290,291.8,317.8,306.8,129,1,3
Andre Rison*,ATL,WR,26,16,16,0,0,0,0,0,0,0,,0,165,86,1242,14.44,15,2,,15,,,212,298.2,302.2,255.2,107,2,4
Shannon Sharpe*+,DEN,TE,25,16,12,0,0,0,0,0,0,0,,0,110,81,995,12.28,9,1,,9,,,153,233.5,237.0,193.0,96,1,5
Jerome Bettis*+,RAM,RB,21,16,12,0,0,0,0,0,294,1429,4.86,7,34,26,244,9.38,0,4,,7,,,205,231.3,239.3,218.3,94,2,6
Thurman Thomas*,BUF,RB,27,16,16,0,1,0,0,0,355,1315,3.70,6,71,48,387,8.06,0,6,,6,,,200,248.2,257.2,224.2,89,3,7
Sterling Sharpe*+,GNB,WR,28,16,16,1,1,1,0,0,4,8,2.00,0,189,112,1274,11.38,11,1,,11,,,193,305.2,308.7,249.2,88,3,8
John Elway*,DEN,QB,33,16,16,348,551,4030,25,10,44,153,3.48,0,,0,0,,0,8,,0,,,249,248.5,268.5,258.5,87,2,9
Ricky Watters*,SFO,RB,24,13,13,0,0,0,0,0,208,950,4.57,10,45,31,326,10.52,1,5,,11,,,189,219.6,228.1,204.1,78,4,10
Marcus Allen*,KAN,RB,33,16,10,0,0,0,0,0,206,764,3.71,12,46,34,238,7.00,3,4,,15,,,186,220.2,228.2,203.2,75,5,11
Michael Irvin*,DAL,WR,27,16,16,0,0,0,0,0,2,6,3.00,0,143,88,1330,15.11,7,0,,7,,,176,263.6,266.6,219.6,71,4,12
Eric Green*,PIT,TE,26,16,16,0,0,0,0,0,0,0,,0,113,63,942,14.95,5,3,,5,,,121,184.2,188.7,152.7,65,2,13
Tim Brown*,RAI,WR,27,16,16,0,0,0,0,0,2,7,3.50,0,127,80,1180,14.75,7,1,,8,,,166,245.7,249.2,205.7,61,5,14
Leonard Russell,NWE,RB,24,16,15,0,0,0,0,0,300,1088,3.63,7,37,26,245,9.42,0,4,,7,,,171,197.3,205.3,184.3,60,6,15
Ben Coates,NWE,TE,24,16,10,0,0,0,0,0,0,0,,0,93,53,659,12.43,8,0,,8,,,114,166.9,169.9,140.4,58,3,16
Gary Brown,HOU,RB,24,16,8,0,0,0,0,0,195,1002,5.14,6,30,21,240,11.43,2,4,,8,,,168,189.2,197.2,178.7,57,7,17
Cris Carter*,MIN,WR,28,16,16,0,0,0,0,0,0,0,,0,143,86,1071,12.45,9,0,,9,,,161,247.1,250.1,204.1,56,6,18
Johnny Johnson,NYJ,RB,25,15,9,0,0,0,0,0,198,821,4.15,3,83,67,641,9.57,1,5,,4,,,165,232.2,240.7,198.7,54,8,19
Anthony Miller*,SDG,WR,28,16,16,0,0,0,0,0,1,0,0.00,0,162,84,1162,13.83,7,0,,7,,,158,242.2,245.2,200.2,53,7,20
Erric Pegram,ATL,RB,24,16,14,0,0,0,0,0,292,1185,4.06,3,42,33,302,9.15,0,6,,3,,,161,193.7,202.7,177.2,50,10,21
Edgar Bennett,GNB,FB,24,16,14,0,0,0,0,0,159,550,3.46,9,74,59,457,7.75,1,0,,10,,,161,219.7,225.7,190.2,50,9,22
Jeff Hostetler,RAI,QB,32,15,15,236,419,3242,14,10,55,202,3.67,5,1,0,0,,0,6,,5,,,210,209.9,228.9,219.9,49,3,23
Herschel Walker,PHI,RB,31,16,16,0,0,0,0,0,174,746,4.29,1,91,75,610,8.13,3,3,,4,,,157,231.6,239.1,194.1,46,13,24
Rodney Hampton*,NYG,RB,24,12,10,0,0,0,0,0,292,1077,3.69,5,23,18,210,11.67,0,2,,5,,,157,174.7,181.7,165.7,46,12,25
Terry Kirby,MIA,RB,23,16,8,0,0,0,0,0,119,390,3.28,3,95,75,874,11.65,3,5,,6,,,157,232.4,240.9,194.9,46,11,26
Chris Warren*,SEA,RB,25,14,14,0,0,0,0,0,273,1072,3.93,7,21,15,99,6.60,0,3,,7,,,156,171.1,175.6,163.6,45,14,27
Ronald Moore,PHO,RB,23,16,11,0,0,0,0,0,263,1018,3.87,9,7,3,16,5.33,0,3,,9,,,154,157.4,161.9,155.9,43,15,28
Johnny Mitchell,NYJ,TE,22,14,14,0,0,0,0,0,0,0,,0,73,39,630,16.15,6,0,,6,,,99,138.0,141.0,118.5,43,4,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Jackson,MIA,TE,28,15,15,0,0,0,0,0,0,0,,0,73,39,613,15.72,6,2,,6,,,95,134.3,138.3,114.8,39,5,30
Barry Sanders*,DET,RB,25,11,11,0,0,0,0,0,243,1115,4.59,3,48,36,205,5.69,0,3,0,3,,,147,183.0,190.5,165.0,36,16,31
Barry Foster*,PIT,RB,25,9,9,0,0,0,0,0,177,711,4.02,8,34,27,217,8.04,1,3,,9,,,144,170.8,178.3,157.3,33,17,32
Brent Jones*,SFO,TE,30,16,16,0,0,0,0,0,0,0,,0,94,68,735,10.81,3,2,,3,,,90,157.5,161.5,123.5,33,6,33
Eric Metcalf*+,CLE,RB,25,16,9,0,0,0,0,0,129,611,4.74,1,84,63,539,8.56,2,4,,5,,,141,204.0,212.0,172.5,30,18,34
Rod Bernstine,DEN,RB,28,15,14,0,0,0,0,0,223,816,3.66,4,61,44,372,8.45,0,3,,4,,,140,183.8,191.3,161.8,29,19,35
Ricky Proehl,PHO,WR,25,16,16,0,0,0,0,0,8,47,5.88,0,108,65,877,13.49,7,1,,7,,,133,198.4,201.9,165.9,29,8,36
Warren Moon*,HOU,QB,37,15,14,303,520,3485,21,21,48,145,3.02,1,,0,0,,0,13,,1,,,189,188.9,222.4,209.9,28,4,37
Reggie Brooks,WAS,RB,22,16,11,0,0,0,0,0,223,1063,4.77,3,35,21,186,8.86,0,4,,3,,,139,159.9,167.9,149.4,28,20,38
Willie Davis,KAN,WR,26,16,15,0,0,0,0,0,0,0,,0,101,52,909,17.48,7,0,,7,,,133,184.9,187.9,158.9,28,9,39
Calvin Williams,PHI,WR,26,16,14,0,0,0,0,0,0,0,,0,104,60,725,12.08,10,0,,10,,,133,192.5,195.5,162.5,28,10,40
Jackie Harris,GNB,TE,25,12,12,0,0,0,0,0,0,0,,0,73,42,604,14.38,4,0,,4,,,84,126.4,129.4,105.4,28,7,41
Pete Metzelaars,BUF,TE,33,16,16,0,0,0,0,0,0,0,,0,95,68,609,8.96,4,1,,4,,,84,151.9,155.4,117.9,28,9,42
Mark Bavaro,PHI,TE,30,16,16,0,0,0,0,0,0,0,,0,72,43,481,11.19,6,0,,6,,,84,127.1,130.1,105.6,28,8,43
Irving Fryar*,MIA,WR,31,16,16,0,0,0,0,0,3,-4,-1.33,0,118,64,1010,15.78,5,0,,5,,,131,194.6,197.6,162.6,26,11,44
Herman Moore,DET,WR,24,15,15,0,0,0,0,0,0,0,,0,112,61,935,15.33,6,2,,6,,,128,188.5,192.5,158.0,23,12,45
Boomer Esiason*,NYJ,QB,32,16,16,288,473,3421,16,11,45,118,2.62,1,1,1,-8,-8.00,0,13,,1,,,183,183.8,207.3,194.3,22,5,46
John Taylor,SFO,WR,31,16,16,1,1,41,0,0,2,17,8.50,0,74,56,940,16.79,5,1,,5,,,126,182.3,185.8,154.3,22,13,47
Michael Jackson,CLE,WR,24,15,11,1,1,25,0,0,1,1,1.00,0,92,41,756,18.44,8,1,,8,,,124,164.7,168.2,144.2,19,14,48
Courtney Hawkins,TAM,WR,24,16,12,0,0,0,0,0,0,0,,0,109,62,933,15.05,5,2,,5,,,121,183.3,187.3,152.3,17,15,49
