player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Ron Johnson,NYG,RB,25.0,14,14,0,1,0,0,0,298,1182,3.97,9,45,451,10.02,5,3,0,14,0.0,0.0,244.0,289.3,296.8,266.8,138.0,1.0,1.0
Larry Brown,WAS,RB,25.0,12,12,0,0,0,0,0,285,1216,4.27,8,32,473,14.78,4,9,0,12,0.0,0.0,232.0,263.9,274.4,247.9,124.0,2.0,2.0
Greg Landry,DET,QB,26.0,14,14,134,268,2066,18,17,81,524,6.47,9,0,0,0.0,0,3,0,9,0.0,0.0,224.0,224.0,248.5,241.0,116.0,1.0,3.0
Gene Washington,SFO,WR,25.0,14,14,0,0,0,0,0,0,0,0.0,0,46,918,19.96,12,0,0,12,0.0,0.0,164.0,209.8,212.8,186.8,110.0,1.0,4.0
Rich Caster,NYJ,TE,24.0,14,13,0,0,0,0,0,2,6,3.0,0,39,833,21.36,10,0,0,10,0.0,0.0,144.0,182.9,185.9,163.4,101.0,1.0,5.0
Floyd Little,DEN,RB,30.0,14,14,2,2,43,1,0,216,859,3.98,9,28,367,13.11,4,4,0,13,0.0,0.0,202.0,230.3,238.3,216.3,90.0,3.0,6.0
John Gilliam,MIN,WR,27.0,14,14,0,0,0,0,0,8,14,1.75,0,47,1035,22.02,7,2,0,7,0.0,0.0,145.0,191.9,195.9,168.4,89.0,2.0,7.0
Bobby Douglass,CHI,QB,25.0,14,14,75,198,1246,9,12,141,968,6.87,8,0,0,0.0,0,9,0,8,0.0,0.0,198.0,197.6,220.1,209.6,86.0,2.0,8.0
Ted Kwalick,SFO,TE,25.0,14,14,0,0,0,0,0,5,11,2.2,0,40,751,18.78,9,2,0,9,0.0,0.0,128.0,168.2,172.2,148.2,83.0,2.0,9.0
Calvin Hill,DAL,RB,25.0,14,14,1,3,55,1,0,245,1036,4.23,6,43,364,8.47,3,7,0,9,0.0,0.0,193.0,236.2,245.7,214.7,80.0,4.0,10.0
Harold Jackson,PHI,WR,26.0,14,14,0,0,0,0,0,9,76,8.44,0,62,1048,16.9,4,2,0,4,0.0,0.0,134.0,196.4,200.4,165.4,77.0,3.0,11.0
Art Malone,ATL,FB,24.0,14,14,0,0,0,0,0,180,798,4.43,8,50,585,11.7,2,10,0,10,0.0,0.0,188.0,238.3,249.3,213.3,74.0,5.0,12.0
Franco Harris,PIT,FB,22.0,14,10,0,0,0,0,0,188,1055,5.61,10,21,180,8.57,1,7,0,11,0.0,0.0,183.0,203.5,213.0,193.0,68.0,6.0,13.0
Mercury Morris,MIA,RB,25.0,14,11,0,0,0,0,0,190,1000,5.26,12,15,168,11.2,0,8,0,12,0.0,0.0,181.0,195.8,205.8,188.3,66.0,8.0,14.0
OJ Simpson,BUF,RB,25.0,14,14,5,8,113,1,0,292,1251,4.28,6,27,198,7.33,0,8,0,6,0.0,0.0,181.0,208.4,218.4,194.9,66.0,7.0,15.0
Archie Manning,NOR,QB,23.0,14,14,230,448,2781,18,21,63,351,5.57,2,0,0,0.0,0,9,0,2,0.0,0.0,179.0,179.3,210.8,200.3,65.0,3.0,16.0
Fred Biletnikoff,OAK,WR,29.0,14,14,0,0,0,0,0,0,0,0.0,0,58,802,13.83,7,0,0,7,0.0,0.0,122.0,180.2,183.2,151.2,63.0,4.0,17.0
John Brockington,GNB,FB,24.0,14,14,0,0,0,0,0,274,1027,3.75,8,19,243,12.79,1,4,0,9,0.0,0.0,177.0,196.0,204.0,186.5,61.0,9.0,18.0
Terry Bradshaw,PIT,QB,24.0,14,14,147,308,1887,12,12,58,346,5.97,7,0,0,0.0,0,4,0,7,0.0,0.0,172.0,172.1,192.1,184.1,57.0,4.0,19.0
Otis Taylor,KAN,WR,30.0,14,12,0,0,0,0,0,5,13,2.6,0,57,821,14.4,6,2,0,6,0.0,0.0,117.0,174.4,178.4,145.9,57.0,5.0,20.0
Raymond Chester,OAK,TE,24.0,13,11,0,0,0,0,0,1,3,3.0,0,34,576,16.94,8,0,0,8,0.0,0.0,106.0,139.9,142.9,122.9,57.0,3.0,21.0
Walt Garrison,DAL,FB,28.0,14,14,0,0,0,0,0,167,784,4.69,7,37,390,10.54,3,6,0,10,0.0,0.0,171.0,208.4,217.4,189.9,55.0,10.0,22.0
Bob Tucker,NYG,TE,27.0,14,14,0,0,0,0,0,3,6,2.0,1,55,764,13.89,4,4,0,5,0.0,0.0,103.0,158.0,163.0,130.5,54.0,4.0,23.0
Frank Pitts,CLE,WR,29.0,14,13,0,0,0,0,0,3,29,9.67,0,36,620,17.22,8,0,0,8,0.0,0.0,113.0,148.9,151.9,130.9,52.0,6.0,24.0
Fran Tarkenton,MIN,QB,32.0,14,14,215,378,2651,18,13,27,180,6.67,0,0,0,0.0,0,3,0,0,0.0,0.0,167.0,167.0,187.5,180.0,51.0,5.0,25.0
John Riggins,NYJ,FB,23.0,12,11,0,0,0,0,0,207,944,4.56,7,21,230,10.95,1,2,0,8,0.0,0.0,163.0,184.4,191.4,173.9,46.0,11.0,26.0
Cid Edwards,SDG,FB,29.0,12,12,0,0,0,0,0,157,679,4.32,5,40,557,13.93,2,4,0,7,0.0,0.0,162.0,201.6,209.6,181.6,44.0,13.0,27.0
Mike Garrett,SDG,RB,28.0,14,14,0,1,0,0,0,272,1031,3.79,6,31,245,7.9,1,8,0,7,0.0,0.0,162.0,192.6,202.6,177.1,44.0,14.0,28.0
Charlie Smith,OAK,RB,26.0,14,13,0,0,0,0,0,170,686,4.04,8,28,353,12.61,2,2,0,10,0.0,0.0,162.0,189.9,196.9,175.9,44.0,12.0,29.0
JD Hill,BUF,WR,24.0,14,14,0,0,0,0,0,1,11,11.0,0,52,754,14.5,5,1,0,5,0.0,0.0,106.0,157.5,161.0,131.5,44.0,7.0,30.0
Jim OBrien,BAL,WR,25.0,14,8,0,0,0,0,0,3,9,3.0,0,11,263,23.91,2,0,0,2,0.0,0.0,102.0,113.2,118.2,109.7,40.0,8.0,31.0
Dave Parks,NOR,TE,31.0,12,9,0,0,0,0,0,1,-7,-7.0,0,32,542,16.94,6,0,0,6,0.0,0.0,90.0,121.5,124.5,105.5,39.0,5.0,32.0
Dave Hampton,ATL,RB,25.0,13,11,0,0,0,0,0,230,995,4.33,6,23,244,10.61,1,9,0,7,0.0,0.0,157.0,179.9,190.4,168.4,38.0,15.0,33.0
Essex Johnson,CIN,RB,26.0,14,11,0,0,0,0,0,212,825,3.89,4,29,420,14.48,2,4,0,6,0.0,0.0,157.0,185.5,193.5,171.0,38.0,16.0,34.0
Sam Havrilak,BAL,WR,25.0,14,14,0,1,0,0,0,12,72,6.0,2,33,571,17.3,4,0,0,6,0.0,0.0,100.0,133.3,136.3,116.8,38.0,9.0,35.0
Chip Myers,CIN,WR,27.0,14,14,0,0,0,0,0,0,0,0.0,0,57,792,13.89,3,0,0,3,0.0,0.0,97.0,154.2,157.2,125.7,34.0,10.0,36.0
Larry Csonka,MIA,FB,26.0,14,14,0,0,0,0,0,213,1117,5.24,6,5,48,9.6,0,2,0,6,0.0,0.0,151.0,155.5,159.5,153.0,31.0,17.0,37.0
Ron Sellers,DAL,WR,25.0,14,9,0,0,0,0,0,0,0,0.0,0,31,653,21.06,5,1,0,5,0.0,0.0,94.0,125.3,128.8,109.8,31.0,11.0,38.0
Mike Phipps,CLE,QB,25.0,14,13,144,305,1994,13,16,60,256,4.27,5,0,0,0.0,0,8,0,5,0.0,0.0,147.0,147.4,173.4,163.4,29.0,6.0,39.0
Jerry Smith,WAS,TE,29.0,14,14,0,0,0,0,0,1,9,9.0,0,21,353,16.81,7,0,0,7,0.0,0.0,78.0,99.2,102.2,88.7,26.0,6.0,40.0
Joe Namath,NYJ,QB,29.0,13,13,162,324,2816,19,21,6,8,1.33,0,0,0,0.0,0,3,0,0,0.0,0.0,144.0,144.4,169.9,165.4,25.0,7.0,41.0
Bob Chandler,BUF,WR,23.0,14,14,0,0,0,0,0,3,27,9.0,0,33,528,16.0,5,1,0,5,0.0,0.0,85.0,117.5,121.0,101.0,20.0,14.0,42.0
Reggie Rucker,NWE,WR,25.0,14,14,0,0,0,0,0,3,5,1.67,0,44,681,15.48,3,2,0,3,0.0,0.0,85.0,128.6,132.6,106.6,20.0,13.0,43.0
Ron Shanklin,PIT,WR,24.0,14,13,0,0,0,0,0,0,0,0.0,0,38,669,17.61,3,0,0,3,0.0,0.0,85.0,122.9,125.9,103.9,20.0,12.0,44.0
Tom Mitchell,BAL,TE,28.0,14,14,0,0,0,0,0,0,7,0.0,0,40,494,12.35,4,1,0,4,0.0,0.0,73.0,113.1,116.6,93.1,20.0,7.0,45.0
Jim Mitchell,ATL,TE,25.0,14,14,0,0,0,0,0,2,19,9.5,0,28,470,16.79,4,0,0,4,0.0,0.0,73.0,100.9,103.9,86.9,20.0,8.0,46.0
Marv Hubbard,OAK,FB,26.0,14,14,0,0,0,0,0,219,1100,5.02,4,22,103,4.68,0,5,0,4,0.0,0.0,139.0,161.3,169.8,150.3,18.0,18.0,47.0
Rod Sherman,DEN,WR,28.0,14,13,0,0,0,0,0,1,2,2.0,0,38,661,17.39,3,1,0,3,0.0,0.0,83.0,121.3,124.8,102.3,18.0,15.0,48.0
Larry Walton,DET,WR,25.0,14,9,0,0,0,0,0,0,0,0.0,0,24,485,20.21,6,2,0,6,0.0,0.0,83.0,106.5,110.5,94.5,17.0,16.0,49.0
Norm Snead,NYG,QB,33.0,14,13,196,325,2307,17,12,10,21,2.1,0,0,0,0.0,0,4,0,0,0.0,0.0,134.0,134.4,151.4,146.4,14.0,8.0,50.0
Paul Warfield,MIA,WR,30.0,12,11,0,0,0,0,0,4,23,5.75,0,29,606,20.9,3,1,0,3,0.0,0.0,80.0,108.9,112.4,94.4,14.0,17.0,51.0
Mike Siani,OAK,WR,22.0,14,13,0,0,0,0,0,0,0,0.0,0,28,496,17.71,5,1,0,5,0.0,0.0,79.0,106.6,110.1,92.6,13.0,18.0,52.0
Ken Burrow,ATL,WR,24.0,14,14,0,0,0,0,0,3,3,1.0,0,29,492,16.97,5,1,0,5,0.0,0.0,79.0,107.5,111.0,93.0,13.0,19.0,53.0
Ken Burrough,HOU,WR,24.0,14,11,0,0,0,0,0,0,0,0.0,0,26,521,20.04,4,0,0,4,0.0,0.0,76.0,102.1,105.1,89.1,10.0,20.0,54.0
Frank Lewis,PIT,WR,25.0,13,8,0,0,0,0,0,3,68,22.67,0,27,391,14.48,5,1,0,5,0.0,0.0,75.0,101.9,105.4,88.4,9.0,21.0,55.0
