Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Dan Marino*+,MIA,QB,23,16,16,362,564,5084,48,17,28,-7,-0.25,0,0,0,,0,6,,0,,,355,354.7,377.7,371.7,191,1,1
James Wilder*,TAM,FB,26,16,16,1,1,16,1,0,407,1544,3.79,13,85,685,8.06,0,10,,13,,,296,380.5,391.5,338.0,172,1,2
Marcus Allen*,RAI,RB,24,16,16,1,4,38,0,0,275,1168,4.25,13,64,758,11.84,5,8,,18,,,294,358.1,368.1,326.1,170,2,3
Eric Dickerson*+,RAM,RB,24,16,16,0,1,0,0,1,379,2105,5.55,14,21,139,6.62,0,14,,14,,,292,313.4,327.4,303.9,168,3,4
Walter Payton*+,CHI,RB,31,16,16,3,8,47,2,1,381,1684,4.42,11,45,368,8.18,0,5,,11,,,274,319.1,328.6,297.6,150,4,5
Mark Clayton*,MIA,WR,23,15,15,0,1,0,0,1,3,35,11.67,0,73,1389,19.03,18,2,,18,,,246,319.4,324.4,283.9,142,1,6
Neil Lomax*,STL,QB,25,16,16,345,560,4614,28,16,35,184,5.26,3,0,0,,0,11,,3,,,290,290.0,317.5,306.0,126,2,7
Roy Green*+,STL,WR,27,16,16,0,0,0,0,0,1,-10,-10.00,0,78,1555,19.94,12,1,,12,,,226,303.5,307.0,264.5,121,2,8
Gerald Riggs,ATL,RB,24,15,14,0,0,0,0,0,353,1486,4.21,13,42,277,6.60,0,11,,13,,,243,285.3,296.8,264.3,119,5,9
John Stallworth*,PIT,WR,32,16,16,0,0,0,0,0,0,0,,0,80,1395,17.44,11,1,,11,,,205,284.5,288.0,244.5,100,3,10
Ottis Anderson,STL,RB,27,15,15,0,0,0,0,0,289,1174,4.06,6,70,611,8.73,2,8,,8,,,219,288.5,298.5,253.5,95,6,11
Joe Montana*,SFO,QB,28,16,15,279,432,3630,28,10,39,118,3.03,2,0,0,,0,4,,2,,,257,257.0,275.0,267.0,93,3,12
Dave Krieg*,SEA,QB,26,16,16,276,480,3671,32,24,46,186,4.04,3,0,0,,0,11,,3,,,252,252.4,287.9,276.4,89,4,13
Steve Largent*,SEA,WR,30,16,16,0,0,0,0,0,2,10,5.00,0,74,1164,15.73,12,1,,12,,,188,262.4,265.9,225.4,84,4,14
John Riggins,WAS,FB,35,14,14,0,0,0,0,0,327,1239,3.79,14,7,43,6.14,0,7,,14,,,205,212.2,218.7,208.7,81,7,15
James Lofton*,GNB,WR,28,16,16,0,0,0,0,0,10,82,8.20,0,62,1361,21.95,7,1,,7,,,185,247.3,250.8,216.3,81,5,16
Tony Eason,NWE,QB,25,16,13,259,431,3228,23,8,40,154,3.85,5,0,0,,0,7,,5,,,244,243.5,261.0,251.5,80,5,17
