player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Paul Warfield,MIA,WR,29.0,14,14,0,0,0,0,0,9,115,12.78,0,43,996,23.16,11,3,0,11,0.0,0.0,174.0,217.1,224.6,195.6,118.0,1.0,1.0
Otis Taylor,KAN,WR,29.0,14,14,0,0,0,0,0,1,25,25.0,1,57,1110,19.47,7,0,0,8,0.0,0.0,162.0,218.5,221.5,190.0,104.0,2.0,2.0
Greg Landry,DET,QB,25.0,14,14,136,261,2237,16,13,76,530,6.97,3,0,0,0.0,0,5,0,3,0.0,0.0,193.0,193.5,215.0,206.5,102.0,1.0,3.0
Steve Owens,DET,FB,24.0,14,13,0,0,0,0,0,246,1035,4.21,8,32,350,10.94,2,5,0,10,0.0,0.0,194.0,225.5,234.0,209.5,89.0,1.0,4.0
Fred Biletnikoff,OAK,WR,28.0,14,14,0,0,0,0,0,0,0,0.0,0,61,929,15.23,9,1,0,9,0.0,0.0,146.0,206.9,210.4,176.4,86.0,3.0,5.0
Randy Vataha,NWE,WR,23.0,14,13,0,0,0,0,0,0,0,0.0,0,51,872,17.1,9,0,0,9,0.0,0.0,141.0,192.2,195.2,166.7,80.0,4.0,6.0
Roger Staubach,DAL,QB,29.0,13,10,126,211,1882,15,4,41,343,8.37,2,0,0,0.0,0,6,0,2,0.0,0.0,168.0,167.6,180.6,171.6,73.0,2.0,7.0
Leroy Kelly,CLE,RB,29.0,14,14,1,4,23,0,0,234,865,3.7,10,25,252,10.08,2,7,0,12,0.0,0.0,178.0,202.6,212.1,190.1,71.0,2.0,8.0
John Hadl,SDG,QB,31.0,14,14,233,431,3075,21,25,18,75,4.17,1,0,0,0.0,0,4,0,1,0.0,0.0,167.0,166.5,196.5,191.5,71.0,3.0,9.0
Floyd Little,DEN,RB,29.0,14,13,0,1,0,0,0,284,1133,3.99,6,26,255,9.81,0,4,0,6,0.0,0.0,171.0,196.8,204.8,183.8,63.0,3.0,10.0
