player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Marshall Faulk,STL,RB,27.0,14,14,0,0,0,0,0,253,1359,5.37,18,113.0,81,830,10.25,8,0,0,26,2.0,0.0,379.0,459.9,465.9,419.4,228.0,1.0,1.0
Edgerrin James,IND,RB,22.0,16,16,0,0,0,0,0,387,1709,4.42,13,87.0,63,594,9.43,5,5,4,18,1.0,0.0,332.0,395.3,405.3,363.8,181.0,2.0,2.0
Jeff Garcia,SFO,QB,30.0,16,16,355,561,4278,31,10,72,414,5.75,4,0.0,0,0,0.0,0,7,1,4,0.0,1.0,341.0,340.5,357.5,350.5,149.0,1.0,3.0
Daunte Culpepper,MIN,QB,23.0,16,16,297,474,3937,33,16,89,470,5.28,7,0.0,0,0,0.0,0,11,6,7,0.0,2.0,338.0,338.5,366.5,354.5,147.0,2.0,4.0
Eddie George,TEN,RB,27.0,16,16,0,0,0,0,0,403,1509,3.74,14,65.0,50,453,9.06,2,5,4,16,0.0,0.0,284.0,334.2,344.2,309.2,133.0,3.0,5.0
Randy Moss,MIN,WR,23.0,16,16,0,0,0,0,0,3,5,1.67,0,129.0,77,1437,18.66,15,2,0,15,1.0,0.0,236.0,313.2,316.2,274.7,125.0,1.0,6.0
Marvin Harrison,IND,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,169.0,102,1413,13.85,14,2,0,14,0.0,0.0,225.0,327.3,330.3,276.3,114.0,2.0,7.0
Terrell Owens,SFO,WR,27.0,14,13,0,0,0,0,0,3,11,3.67,0,146.0,97,1451,14.96,13,3,1,13,1.0,0.0,224.0,321.2,325.2,272.7,113.0,3.0,8.0
Tony Gonzalez,KAN,TE,24.0,16,16,0,0,0,0,0,0,0,0.0,0,150.0,93,1203,12.94,9,0,0,9,0.0,0.0,174.0,267.3,270.3,220.8,113.0,1.0,9.0
Rod Smith,DEN,WR,30.0,16,16,0,0,0,0,0,6,99,16.5,1,173.0,100,1602,16.02,8,1,1,9,0.0,0.0,222.0,322.1,326.1,272.1,111.0,4.0,10.0
