Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Otis Armstrong*+,DEN,RB,24,14,14,0,0,0,0,0,263,1407,5.35,9,38,405,10.66,3,6,,12,,,247,285.2,294.2,266.2,167,1,1
Cliff Branch*+,OAK,WR,26,14,14,0,0,0,0,0,0,0,,0,60,1092,18.20,13,1,,13,,,186,246.2,249.7,216.2,141,1,2
Chuck Foreman*,MIN,RB,24,13,13,0,0,0,0,0,199,777,3.90,9,53,586,11.06,6,6,,15,,,220,273.3,282.3,246.8,137,2,3
Don Woods,SDG,FB,23,12,9,1,3,28,1,1,227,1162,5.12,7,26,349,13.42,3,4,,10,,,210,236.2,245.2,224.2,125,3,4
Ken Anderson,CIN,QB,25,13,13,213,328,2667,18,10,43,314,7.30,2,0,0,,0,3,,2,,,199,199.1,216.6,209.1,113,1,5
Mack Herron,NWE,RB,26,14,14,0,0,0,0,0,231,824,3.57,7,38,474,12.47,5,12,,12,,,190,227.8,239.8,208.8,102,4,6
Ken Stabler*+,OAK,QB,29,14,13,178,310,2469,26,12,12,-2,-0.17,1,0,0,,0,3,,1,,,182,181.6,198.1,193.6,93,2,7
Lawrence McCutcheon*,RAM,RB,24,14,14,0,0,0,0,0,236,1109,4.70,3,39,408,10.46,2,7,,5,,,175,213.7,223.2,194.2,85,5,8
Tom Sullivan,PHI,RB,24,14,14,0,0,0,0,0,244,760,3.11,11,39,312,8.00,1,6,,12,,,173,212.2,221.2,192.7,83,6,9
Jim Hart*,STL,QB,30,14,14,200,388,2411,20,8,10,21,2.10,2,0,0,,0,5,,2,,,170,169.5,183.0,177.5,79,4,10
Fran Tarkenton*,MIN,QB,34,13,13,199,351,2598,17,12,21,120,5.71,2,0,0,,0,2,,2,,,170,169.9,188.9,181.9,79,3,11
Drew Pearson*+,DAL,WR,23,14,14,1,1,46,1,0,3,6,2.00,0,62,1087,17.53,2,1,,3,,,132,194.1,197.6,163.1,79,2,12
Sam Cunningham,NWE,FB,24,10,10,0,0,0,0,0,166,811,4.89,9,22,214,9.73,2,2,,11,,,167,188.5,195.5,177.5,75,7,13
