Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Emmitt Smith*+,DAL,RB,26,16,16,0,0,0,0,0,377,1773,4.70,25,78,62,375,6.05,0,7,6,25,,,353,414.8,426.8,383.8,221,1,1
Jerry Rice*+,SFO,WR,33,16,16,1,1,41,1,0,5,36,7.20,1,176,122,1848,15.15,15,3,3,17,1,,292,414.0,420.0,353.0,174,1,2
Isaac Bruce,STL,WR,23,16,16,0,0,0,0,0,3,17,5.67,0,199,119,1781,14.97,13,2,1,13,1,,258,376.8,380.8,317.3,140,2,3
Herman Moore*+,DET,WR,26,16,16,0,0,0,0,0,0,0,,0,206,123,1686,13.71,14,2,2,14,,,249,371.6,376.6,310.1,131,3,4
Curtis Martin*,NWE,RB,22,16,15,0,0,0,0,0,368,1487,4.04,14,50,30,261,8.70,1,5,3,15,1,,261,290.8,299.8,275.8,129,2,5
Brett Favre*+,GNB,QB,26,16,16,359,570,4413,38,13,39,181,4.64,3,0,0,0,,0,8,4,3,,,331,330.6,353.6,343.6,128,1,6
Barry Sanders*+,DET,RB,27,16,16,1,2,11,0,0,314,1500,4.78,11,70,48,398,8.29,1,3,3,12,,,256,304.2,313.2,280.2,124,3,7
Cris Carter*,MIN,WR,30,16,16,0,0,0,0,0,1,0,0.00,0,197,122,1371,11.24,17,0,,17,,,239,361.1,364.1,300.1,121,4,8
Chris Warren*,SEA,RB,27,16,16,0,0,0,0,0,310,1346,4.34,15,50,35,247,7.06,1,5,3,16,,,249,284.3,293.3,266.8,117,4,9
Robert Brooks,GNB,WR,25,16,16,0,0,0,0,0,4,21,5.25,0,167,102,1497,14.68,13,0,,13,,,230,331.8,334.8,280.8,112,5,10
Carl Pickens*,CIN,WR,25,16,16,0,0,0,0,0,1,6,6.00,0,168,99,1234,12.46,17,1,,17,,,226,325.0,328.0,275.5,108,6,11
Scott Mitchell,DET,QB,27,16,16,346,583,4338,32,12,36,104,2.89,4,0,0,0,,0,8,3,4,,1,308,307.9,328.9,319.9,105,2,12
Ricky Watters*,PHI,RB,26,16,16,0,0,0,0,0,337,1273,3.78,11,93,62,434,7.00,1,6,3,12,,,237,298.7,307.7,267.7,105,5,13
Michael Irvin*,DAL,WR,29,16,16,0,0,0,0,0,0,0,,0,165,111,1603,14.44,10,1,1,10,,,218,329.3,333.3,273.8,101,7,14
Marshall Faulk*,IND,RB,22,16,16,0,0,0,0,0,289,1078,3.73,11,74,56,475,8.48,3,8,4,14,,,231,287.3,297.3,259.3,99,6,15
Brett Perriman,DET,WR,30,16,16,0,0,0,0,0,5,48,9.60,0,179,108,1488,13.78,9,1,1,9,1,,208,315.6,319.6,261.6,90,8,16
Derek Loville,SFO,RB,27,16,16,0,0,0,0,0,218,723,3.32,10,110,87,662,7.61,3,1,1,13,1,,217,303.5,310.5,260.0,85,7,17
Edgar Bennett,GNB,FB,26,16,16,0,0,0,0,0,316,1067,3.38,3,79,61,648,10.62,4,2,,7,,,214,274.5,280.5,244.0,82,9,18
Terry Allen,WAS,RB,27,16,16,0,0,0,0,0,338,1309,3.87,10,40,31,232,7.48,1,6,3,11,,,214,245.1,254.1,229.6,82,8,19
Tim Brown*,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,148,89,1342,15.08,10,0,,10,,,194,283.2,286.2,238.7,76,9,20
Anthony Miller*,DEN,WR,30,14,14,0,0,0,0,0,1,5,5.00,0,108,59,1079,18.29,14,1,1,14,,,190,249.4,253.4,219.9,73,10,21
Warren Moon*,MIN,QB,39,16,16,377,606,4228,33,14,33,82,2.48,0,0,0,0,,0,13,4,0,,,273,273.3,294.3,287.3,71,3,22
Harvey Williams,OAK,RB,28,16,16,1,1,13,1,0,255,1114,4.37,9,60,54,375,6.94,0,5,3,9,,,201,255.4,264.4,228.4,70,10,23
Eric Metcalf,ATL,WR,27,16,15,0,1,0,0,0,28,133,4.75,1,153,104,1189,11.43,8,4,3,10,,,186,290.2,299.2,238.2,68,11,24
Curtis Conway,CHI,WR,24,16,16,0,1,0,0,0,5,77,15.40,0,117,62,1037,16.73,12,0,,12,,,183,245.4,248.4,214.4,66,12,25
Errict Rhett,TAM,RB,25,16,16,0,0,0,0,0,332,1207,3.64,11,29,14,110,7.86,0,2,1,11,,,196,209.7,216.7,202.7,64,11,26
Jeff Blake*,CIN,QB,25,16,16,326,567,3822,28,17,53,309,5.83,2,0,0,0,,0,10,5,2,1,,266,265.8,293.8,282.8,63,4,27
Terrell Davis,DEN,RB,23,14,14,0,0,0,0,0,237,1117,4.71,7,82,49,367,7.49,1,5,2,8,,,192,241.4,249.4,216.9,61,12,28
Craig Heyward*,ATL,RB,29,16,16,0,0,0,0,0,236,1083,4.59,6,46,37,350,9.46,2,3,,8,,,191,228.3,234.3,209.8,59,13,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Hampton,NYG,RB,26,16,15,0,0,0,0,0,306,1182,3.86,10,28,24,142,5.92,0,5,4,10,1,,186,210.4,220.4,198.4,55,14,30
Joey Galloway,SEA,WR,24,16,16,0,0,0,0,0,11,154,14.00,1,133,67,1039,15.51,7,1,1,9,,,171,238.3,245.3,204.8,54,13,31
Ben Coates*+,NWE,TE,26,16,15,0,0,0,0,0,0,0,,0,137,84,915,10.89,6,4,4,6,,,120,203.5,210.5,161.5,52,1,32
Jake Reed,MIN,WR,28,16,16,0,0,0,0,0,0,0,,0,142,72,1167,16.21,9,1,1,9,,,169,240.7,244.7,204.7,51,14,33
