Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2023-11-19,Bills,Jets,3,6:42,2,5,BUF 19,28-6,Josh Allen pass complete deep right to Khalil Shakir for 81 yards touchdown,81,-0.04,7,7.04
2023-12-23,Bills,Chargers,2,9:12,1,10,BUF 43,6-10,Josh Allen pass complete deep right to Gabriel Davis for 57 yards touchdown,57,1.8,7,5.2
2023-10-01,Bills,Dolphins,2,3:12,2,6,BUF 45,27-14,Josh Allen pass complete short left to Stefon Diggs for 55 yards touchdown. Penalty on Kader Kohou: Illegal Contact 5 yards (declined),55,1.66,7,5.34
2023-12-31,Bills,Patriots,3,13:44,1,10,BUF 36,20-14,Josh Allen pass complete deep right to Dalton Kincaid for 51 yards (tackle by Kyle Dugger),51,1.33,4.71,3.38
2023-10-08,Bills,Jaguars,3,9:30,1,10,BUF 10,7-11,Josh Allen pass complete deep right to Stefon Diggs for 48 yards (tackle by Andre Cisco),48,-0.38,2.79,3.17
2023-10-01,Bills,Dolphins,3,8:18,1,10,BUF 36,31-20,Josh Allen pass complete short right to James Cook for 48 yards (tackle by David Long),48,1.33,4.51,3.18
2024-01-07,Bills,Dolphins,1,2:23,2,10,BUF 11,0-0,Josh Allen pass complete short left to Khalil Shakir for 46 yards (tackle by DeShon Elliott),46,-0.78,2.72,3.5
2023-10-08,Bills,Jaguars,4,2:56,1,10,BUF 25,13-25,Josh Allen pass complete deep left to Deonte Harty for 43 yards (tackle by Rayshawn Jenkins),43,0.61,3.45,2.84
2023-09-17,Bills,Raiders,4,7:21,3,6,RAI 48,31-10,Josh Allen pass complete deep right to Gabriel Davis for 40 yards (tackle by Jakorian Bennett),40,1.42,5.37,3.95
2023-11-13,Bills,Broncos,3,2:02,2,7,BUF 14,15-15,Josh Allen pass complete deep left to Gabriel Davis for 38 yards (tackle by Delarrin Turner-Yell),38,-0.53,2.39,2.92
2024-01-07,Bills,Dolphins,2,5:57,2,7,MIA 43,0-7,Josh Allen pass complete deep left to Stefon Diggs for 36 yards (tackle by Eli Apple),36,2.38,5.6,3.22
2023-12-23,Bills,Chargers,3,3:22,1,10,SDG 42,14-13,Josh Allen pass complete deep left to Gabriel Davis for 36 yards,36,2.79,5.83,3.04
2023-09-24,Bills,Washington,1,0:47,1,10,WAS 35,9-0,Josh Allen pass complete deep left to Gabriel Davis for 35 yards touchdown,35,3.25,7,3.75
2023-10-01,Bills,Dolphins,3,0:39,1,10,MIA 45,41-20,Josh Allen pass complete deep right to Gabriel Davis for 34 yards (tackle by Kelvin Joseph),34,2.59,4.84,2.25
