Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Randall Cunningham*,PHI,QB,27,16,16,271,465,3466,30,13,118,942,7.98,5,0,0,,0,9,,5,,,348,347.8,371.3,360.8,179,1,1
Barry Sanders*+,DET,RB,22,16,16,0,0,0,0,0,255,1304,5.11,13,36,480,13.33,3,4,0,16,,,270,306.4,314.4,288.4,146,1,2
Warren Moon*,HOU,QB,34,15,15,362,584,4689,33,13,55,215,3.91,2,0,0,,0,18,,2,,,309,309.1,337.1,322.1,140,2,3
Thurman Thomas*+,BUF,RB,24,16,16,0,0,0,0,0,271,1297,4.79,11,49,532,10.86,2,6,,13,,,255,303.9,312.9,279.4,131,2,4
Jerry Rice*+,SFO,WR,28,16,16,0,0,0,0,0,2,0,0.00,0,100,1502,15.02,13,1,,13,,,227,327.2,330.7,277.2,119,1,5
Neal Anderson*,CHI,RB,26,15,14,0,0,0,0,0,260,1078,4.15,10,42,484,11.52,3,2,,13,,,232,274.2,281.2,253.2,108,3,6
Joe Montana*+,SFO,QB,34,15,15,321,520,3944,26,16,40,162,4.05,1,0,0,,0,4,,1,,,248,248.0,272.0,264.0,79,3,7
Earnest Byner*,WAS,RB,28,16,16,1,2,31,1,0,297,1219,4.10,6,31,279,9.00,1,2,,7,,,195,226.0,233.0,210.5,71,4,8
Andre Rison*+,ATL,WR,23,16,15,0,0,0,0,0,0,0,,0,82,1208,14.73,10,2,,10,,,179,260.8,264.8,219.8,71,2,9
Derrick Fenner,SEA,RB,23,16,15,0,0,0,0,0,215,859,4.00,14,17,143,8.41,1,3,,15,,,187,204.2,211.7,195.7,63,5,10
Marion Butts*,SDG,RB,24,14,13,0,0,0,0,0,265,1225,4.62,8,16,117,7.31,0,0,,8,,,182,198.2,204.2,190.2,58,6,11
Jim Everett*,RAM,QB,27,16,16,307,554,3989,23,17,20,31,1.55,1,0,0,,0,4,,1,,,223,222.7,244.7,239.7,54,4,12
James Brooks*,CIN,RB,32,16,15,0,0,0,0,0,195,1004,5.15,5,26,269,10.35,4,3,,9,,,178,204.3,211.8,191.3,54,7,13
Emmitt Smith*,DAL,RB,21,16,15,0,0,0,0,0,241,937,3.89,11,24,228,9.50,0,7,,11,,,176,199.5,209.0,187.5,51,8,14
Gary Clark*,WAS,WR,28,16,16,0,0,0,0,0,1,1,1.00,0,75,1112,14.83,8,0,,8,,,159,234.3,237.3,196.8,51,3,15
Cleveland Gary,RAM,RB,24,15,7,0,0,0,0,0,204,808,3.96,14,30,150,5.00,1,12,,15,,,174,203.8,215.8,188.8,50,9,16
Ernest Givins*,HOU,WR,26,16,16,0,0,0,0,0,3,65,21.67,0,72,979,13.60,9,1,,9,,,157,229.4,232.9,193.4,49,4,17
Lorenzo White,HOU,RB,24,16,16,0,0,0,0,0,168,702,4.18,8,39,368,9.44,4,7,,12,,,172,211.0,220.5,191.5,48,10,18
Bobby Humphrey*,DEN,RB,24,15,14,0,2,0,0,0,288,1202,4.17,7,24,152,6.33,0,8,,7,,,169,193.4,203.4,181.4,45,11,19
Haywood Jeffires,HOU,WR,26,16,16,0,0,0,0,0,0,0,,0,74,1048,14.16,8,0,,8,,,153,226.8,229.8,189.8,45,5,20
Brent Jones,SFO,TE,27,16,16,0,0,0,0,0,0,0,,0,56,747,13.34,5,2,,5,,,103,158.7,162.7,130.7,45,1,21
Keith Jackson*+,PHI,TE,25,14,14,0,0,0,0,0,0,0,,0,50,670,13.40,6,1,,6,,,102,152.0,155.5,127.0,45,2,22
Steve DeBerg,KAN,QB,36,16,16,258,444,3444,23,4,21,-5,-0.24,0,0,0,,0,9,,0,,,212,212.3,223.8,216.3,43,5,23
Henry Ellard,RAM,WR,29,15,15,0,0,0,0,0,2,21,10.50,0,76,1294,17.03,4,4,,4,,,152,227.5,232.5,189.5,43,6,24
Merril Hoge,PIT,FB,25,16,15,0,0,0,0,0,203,772,3.80,7,40,342,8.55,3,6,,10,,,165,205.4,214.4,185.4,41,12,25
John Elway,DEN,QB,30,16,16,294,502,3526,15,14,50,258,5.16,3,0,0,,0,8,,3,,,209,208.8,232.8,222.8,40,7,26
Timm Rosenbach,PHO,QB,24,16,16,237,437,3098,16,17,86,470,5.47,3,0,0,,0,10,,3,,,209,208.9,236.9,225.9,40,6,27
