Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Emmitt Smith*+,DAL,RB,25,15,15,0,0,0,0,0,368,1484,4.03,21,61,50,341,6.82,1,1,,22,,,315,364.5,370.5,339.5,187,1,1
Steve Young*+,SFO,QB,33,16,16,324,461,3969,35,10,58,293,5.05,7,0,0,0,,0,4,3,7,,2,348,348.1,367.1,358.1,172,1,2
Jerry Rice*+,SFO,WR,32,16,16,0,0,0,0,0,7,93,13.29,2,151,112,1499,13.38,13,1,1,15,1,,249,361.2,365.2,305.2,139,1,3
Barry Sanders*+,DET,RB,26,16,16,0,0,0,0,0,331,1883,5.69,7,65,44,283,6.43,1,0,0,8,,,265,308.6,314.6,286.6,137,2,4
Chris Warren*,SEA,RB,26,16,15,0,0,0,0,0,333,1545,4.64,9,61,41,323,7.88,2,5,4,11,1,,247,287.8,297.8,267.3,119,3,5
Marshall Faulk*,IND,RB,21,16,16,0,0,0,0,0,314,1282,4.08,11,74,52,522,10.04,1,5,5,12,,,242,294.4,305.4,268.4,115,4,6
Sterling Sharpe*,GNB,WR,29,16,16,0,0,0,0,0,3,15,5.00,0,159,94,1119,11.90,18,1,,18,,,221,315.4,318.4,268.4,111,2,7
Brett Favre,GNB,QB,25,16,16,363,582,3882,33,14,42,202,4.81,2,0,0,0,,0,7,5,2,,1,283,283.5,308.5,297.5,107,2,8
Ben Coates*+,NWE,TE,25,16,16,0,0,0,0,0,1,0,0.00,0,148,96,1174,12.23,7,2,1,7,,,157,253.4,257.4,205.4,102,1,9
Natrone Means*,SDG,RB,22,16,16,0,1,0,0,0,343,1350,3.94,12,43,39,235,6.03,0,5,4,12,,,223,261.5,271.5,242.0,95,5,10
Terance Mathis*,ATL,WR,27,16,16,0,0,0,0,0,0,0,,0,151,111,1342,12.09,11,0,,11,2,,204,315.2,318.2,259.7,94,3,11
Ricky Watters*,SFO,RB,25,16,16,0,0,0,0,0,239,877,3.67,6,88,66,719,10.89,5,8,3,11,,,220,285.6,294.6,252.6,92,6,12
Dan Marino*,MIA,QB,33,16,16,385,615,4453,30,17,22,-6,-0.27,1,0,0,0,,0,9,5,1,,3,266,265.5,290.5,282.5,89,3,13
Andre Reed*,BUF,WR,30,16,16,1,1,32,0,0,10,87,8.70,0,143,90,1303,14.48,8,3,2,8,,,184,274.3,279.3,229.3,74,4,14
Shannon Sharpe*,DEN,TE,26,15,13,0,0,0,0,0,0,0,,0,140,87,1010,11.61,4,1,1,4,2,,127,214.0,218.0,170.5,72,2,15
Thurman Thomas,BUF,RB,28,15,15,0,0,0,0,0,287,1093,3.81,7,71,50,349,6.98,2,1,1,9,,,196,246.2,253.2,221.2,69,7,16
Herman Moore*,DET,WR,25,16,16,0,0,0,0,0,0,0,,0,132,72,1173,16.29,11,1,2,11,,,179,251.3,256.3,215.3,69,5,17
Carl Pickens,CIN,WR,24,15,15,0,0,0,0,0,0,0,,0,132,71,1127,15.87,11,1,,11,,,179,249.7,252.7,214.2,68,7,18
Tim Brown*,RAI,WR,28,16,16,0,0,0,0,0,0,0,,0,142,89,1309,14.71,9,3,3,9,,,179,267.9,273.9,223.4,68,6,19
Brent Jones*,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,72,49,670,13.67,9,1,1,9,1,,121,170.0,174.0,145.5,66,3,20
Henry Ellard,WAS,WR,33,16,16,0,0,0,0,0,1,-5,-5.00,0,150,74,1397,18.88,6,1,1,6,,,173,247.2,251.2,210.2,63,8,21
