player_name,player_url,player_id,position
Ron Johnson,/players/J/JohnRo02.htm,JohnRo02,RB
Ron Johnson,/players/J/JohnRo20.htm,JohnRo20,RB
Ron Johnson,/players/J/JohnRo01.htm,JohnRo01,RB
Ron Johnson,/players/J/JohnRo03.htm,JohnRo03,RB
Ron Johnson,/players/J/JohnRo21.htm,JohnRo21,RB
Gene Washington,/players/W/WashGe01.htm,WashGe01,WR
Gene Washington,/players/W/WashGe00.htm,WashGe00,WR
Gene Washington,/players/W/WashGe20.htm,WashGe20,WR
MacArthur Lane,/players/L/LaneMa00.htm,LaneMa00,FB
Warren Wells,/players/W/WellWa00.htm,WellWa00,WR
John Brodie,/players/B/BrodJo00.htm,BrodJo00,QB
Marlin Briscoe,/players/B/BrisMa00.htm,BrisMa00,WR
Larry Brown,/players/B/BrowLa01.htm,BrowLa01,RB
Larry Brown,/players/B/BrowLa00.htm,BrowLa00,RB
Larry Brown,/players/B/BrowLa23.htm,BrowLa23,RB
Larry Brown,/players/B/BrowLa24.htm,BrowLa24,RB
Larry Brown,/players/B/BrowLa22.htm,BrowLa22,RB
Larry Brown,/players/B/BrowLa25.htm,BrowLa25,RB
Fran Tarkenton,/players/T/TarkFr00.htm,TarkFr00,QB
John Gilliam,/players/G/GillJo01.htm,GillJo01,WR
Ken Willard,/players/W/WillKe02.htm,WillKe02,FB
John Hadl,/players/H/HadlJo00.htm,HadlJo00,QB
Bo Scott,/players/S/ScotBo01.htm,ScotBo01,FB
Sonny Jurgensen,/players/J/JurgSo00.htm,JurgSo00,QB
Eddie Hinton,/players/H/HintEd00.htm,HintEd00,WR
Roy Jefferson,/players/J/JeffRo00.htm,JeffRo00,WR
Fred Biletnikoff,/players/B/BileFr00.htm,BileFr00,WR
Jerry Smith,/players/S/SmitJe25.htm,SmitJe25,TE
Jerry Smith,/players/S/SmitJe01.htm,SmitJe01,TE
Mel Farr,/players/F/FarrMe00.htm,FarrMe00,FB
Mel Farr,/players/F/FarrMe20.htm,FarrMe20,FB
