Rk,Player,PlayerId
1,CeeDee Lamb,LambCe00
2,Josh Allen,AlleJo02
3,Christian McCaffrey,McCaCh01
4,Tyreek Hill,HillTy00
5,Jalen Hurts,HurtJa00
6,Dak Prescott,PresDa01
7,Lamar Jackson,JackLa00
8,Amon-Ra St. Brown,StxxAm00
9,Jordan Love,LoveJo03
10,Puka Nacua,NacuPu00
11,Brock Purdy,PurdBr00
12,Breece Hall,HallBr03
13,A.J. Brown,BrowAJ00
14,Jared Goff,GoffJa00
15,D.J. Moore,MoorD.00
16,Mike Evans,EvanMi00
17,Travis Etienne,EtieTr00
18,Patrick Mahomes,MahoPa00
19,Keenan Allen,AlleKe00
20,C.J. Stroud,StroCJ00
21,Baker Mayfield,MayfBa00
22,Stefon Diggs,DiggSt00
23,Tua Tagovailoa,TagoTu00
24,Rachaad White,WhitRa01
25,Raheem Mostert,MostRa00
26,Joe Mixon,MixoJo00
27,Davante Adams,AdamDa01
28,Ja'Marr Chase,ChasJa00
29,Trevor Lawrence,LawrTr00
30,Nico Collins,CollNi00
31,Sam Howell,HoweSa00
32,Russell Wilson,WilsRu00
33,Kyren Williams,WillKy02
34,Michael Pittman Jr.,PittMi01
35,Brandon Aiyuk,AiyuBr00
36,Derrick Henry,HenrDe00
37,Bijan Robinson,RobiBi01
38,Deebo Samuel,SamuDe00
39,Matthew Stafford,StafMa00
40,Jahmyr Gibbs,GibbJa01
41,Derek Carr,CarrDe02
42,Sam LaPorta,LaPoSa01
43,Justin Herbert,HerbJu00
44,Alvin Kamara,KamaAl00
45,James Cook,CookJa01
46,Chris Olave,OlavCh00
47,Adam Thielen,ThieAd00
48,Evan Engram,EngrEv00
49,Justin Fields,FielJu00
50,Calvin Ridley,RidlCa00
51,DeVonta Smith,SmitDe07
52,Geno Smith,SmitGe00
53,Amari Cooper,CoopAm00
54,D.K. Metcalf,MetcDK00
55,DeAndre Hopkins,HopkDe00
56,Saquon Barkley,BarkSa00
57,Tony Pollard,PollTo00
58,Jordan Addison,AddiJo00
59,Travis Kelce,KelcTr00
60,T.J. Hockenson,HockTJ00
61,Jakobi Meyers,MeyeJa01
62,Jayden Reed,ReedJa03
63,Isiah Pacheco,PachIs00
64,Garrett Wilson,WilsGa00
65,Rashee Rice,RiceRa01
66,Jerome Ford,FordJe00
67,Terry McLaurin,McLaTe00
68,Chris Godwin,GodwCh00
69,George Pickens,PickGe00
70,David Montgomery,MontDa01
71,Zay Flowers,FlowZa00
72,George Kittle,KittGe00
73,Tyler Lockett,LockTy00
74,Justin Jefferson,JeffJu00
75,James Conner,ConnJa00
76,David Njoku,NjokDa00
77,Joshua Dobbs,DobbJo00
78,Kenneth Walker III,WalkKe00
79,D'Andre Swift,SwifDA00
80,Jaylen Waddle,WaddJa00
81,Brian Robinson Jr.,RobiBr01
82,Jaylen Warren,WarrJa01
83,Gardner Minshew II,MinsGa00
84,Najee Harris,HarrNa00
85,De'Von Achane,AchaDe00
86,Courtland Sutton,SuttCo00
87,Gus Edwards,EdwaGu00
88,Austin Ekeler,EkelAu00
89,Chuba Hubbard,HubbCh01
90,Trey McBride,McBrTr01
91,Josh Jacobs,JacoJo01
92,Cole Kmet,KmetCo00
93,Javonte Williams,WillJa10
94,Desmond Ridder,RiddDe00
95,Jake Ferguson,FergJa00
96,Brandon Aubrey,AubrBr00
97,Ezekiel Elliott,ElliEz00
98,Romeo Doubs,DoubRo00
99,Drake London,LondDr00
100,Brandin Cooks,CookBr00
101,Zack Moss,MossZa00
102,Devin Singletary,SingDe00
103,Tank Dell,DellNa00
104,Cooper Kupp,KuppCo00
105,Gabriel Davis,DaviGa01
106,Curtis Samuel,SamuCu00
107,Josh Downs,DownJo00
108,Bryce Young,YounBr01
109,Jonathan Taylor,TaylJo02
110,Rashid Shaheed,ShahRa00
111,Tyjae Spears,SpeaTy00
112,Diontae Johnson,JohnDi01
113,Darius Slayton,SlayDa01
114,Dalton Schultz,SchuDa00
115,Christian Kirk,KirkCh01
116,Dalton Kincaid,KincDa00
117,Matt Gay,GayxMa00
118,Cairo Santos,SantCa01
119,Jaxon Smith-Njigba,SmitJa06
120,Kirk Cousins,CousKi00
121,Jake Elliott,ElliJa03
