0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Def Interceptions.4,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 17_level_0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Unnamed: 23_level_0,,,,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 30_level_0,Unnamed: 31_level_0,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0
Year,Age,Tm,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Def Interceptions.4,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 17_level_0,Unnamed: 18_level_0,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Punt Returns,Punt Returns.1,Punt Returns.2,Punt Returns.3,Punt Returns.4,Kick Returns,Kick Returns.1,Kick Returns.2,Kick Returns.3,Kick Returns.4,Unnamed: 17_level_0,,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 31_level_0,Unnamed: 32_level_0,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Punt Returns,Punt Returns.1,Punt Returns.2,Punt Returns.3,Punt Returns.4,Kick Returns,Kick Returns.1,Kick Returns.2,Kick Returns.3,Kick Returns.4,Unnamed: 16_level_0,,,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Punt Returns,Punt Returns.1,Punt Returns.2,Punt Returns.3,Punt Returns.4,Kick Returns,Kick Returns.1,Kick Returns.2,Kick Returns.3,Kick Returns.4,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 30_level_0,Unnamed: 31_level_0,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Def Interceptions.4,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 17_level_0,Tackles,Tackles.1,Tackles.2,Unnamed: 21_level_0,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Def Interceptions.4,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 16_level_0,Tackles,Tackles.1,Tackles.2,Unnamed: 20_level_0,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Scrimmage,Scrimmage.1,Scrimmage.2,Scrimmage.3,Unnamed: 32_level_0,Unnamed: 33_level_0,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 16_level_0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Unnamed: 22_level_0,Unnamed: 23_level_0,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Scrimmage,Scrimmage.1,Scrimmage.2,Scrimmage.3,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Off.,Off..1,Def.,Def..1,ST,ST.1,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 26_level_0,Unnamed: 27_level_0,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 23_level_0,Unnamed: 24_level_0,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Def Interceptions.4,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 17_level_0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Unnamed: 23_level_0,Unnamed: 24_level_0,,,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Y/A,AY/A,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Y/A,AY/A,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Passing.5,Passing.6,Passing.7,Passing.8,Passing.9,Passing.10,Passing.11,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Passing.5,Passing.6,Passing.7,Passing.8,Passing.9,,,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Def Interceptions.4,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 16_level_0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Unnamed: 22_level_0,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Passing,Passing.1,Passing.2,RPO,RPO.1,RPO.2,RPO.3,RPO.4,RPO.5,PlayAction,PlayAction.1,,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Def Interceptions.4,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 16_level_0,Unnamed: 17_level_0,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Y/A,AY/A,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Punt Returns,Punt Returns.1,Punt Returns.2,Punt Returns.3,Punt Returns.4,Kick Returns,Kick Returns.1,Kick Returns.2,Kick Returns.3,Kick Returns.4,Unnamed: 17_level_0,Unnamed: 18_level_0,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 23_level_0,Unnamed: 24_level_0,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,,
Year,Age,Tm,Pos,No.,G,GS,QBrec,Att,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,AV,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards,,,,
Year,Age,Tm,Pos,No.,G,GS,QBrec,Att,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,,,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Yds,TD,Int,1D,Y/G,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,QBrec,Att,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,AV,Awards,,,,,,,,,,,,,,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 31_level_0,Unnamed: 32_level_0,,
Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,
Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 27_level_0,Unnamed: 28_level_0,,,,,,
